steam_id,country
76561198076737490,AR
76561198011976717,AR
76561198047334829,AR
76561198000899804,AR
76561198045256062,AR
76561198098361457,AR
76561198083165305,AR
76561198103654291,AR
76561198078354099,AR
76561198142104237,AR
76561198051088342,AR
76561198272395751,AR
76561198139192184,AR
76561198181881229,AR
76561198187260266,AR
76561198020809111,AR
76561198020419189,AR
76561198092323862,AR
76561198039448803,AR
76561198177347043,AR
76561198043444428,AR
76561198162987414,AR
76561199008578772,AR
76561198197754715,AR
76561198058810024,AR
76561198076891170,AR
76561198042433628,AR
76561198344209907,AR
76561198034725241,AR
76561198057377987,AR
76561198259538628,AR
76561198070573129,AR
76561198292116844,AR
76561198050318424,AR
76561198833221848,AR
76561198218018187,AR
76561198102743516,AR
76561198394934113,AR
76561198358781128,AR
76561197986895803,AR
76561199092801246,AR
76561198035011768,AR
76561198310253615,AR
76561198354434811,AR
76561198105675966,AR
76561198007689323,AR
76561198376077270,AR
76561198016494635,AR
76561198055992719,AR
76561198220637399,AR
76561198033060941,AR
76561198391904750,AR
76561198808165425,AR
76561198058907675,AR
76561198012214726,AR
76561198816347438,AR
76561198031349942,AR
76561198129921761,AR
76561198306497155,AR
76561198062077667,AR
76561198314503217,AR
76561198136200487,AR
76561197990770204,AR
76561198147283327,AR
76561198255330965,AR
76561198127006602,AR
76561198109073699,AR
76561198061154745,AR
76561198128968057,AR
76561198062356268,AR
76561198370228257,AR
76561198243086026,AR
76561198848021910,AR
76561199067704841,AR
76561198158905982,AR
76561198058870490,AR
76561198254863779,AR
76561198108322091,AR
76561198163816721,AR
76561198166753280,AR
76561198256927465,AR
76561198349912176,AR
76561198058332195,AR
76561198326252094,AR
76561198139019024,AR
76561198207867509,AR
76561198107936064,AR
76561198039036131,AR
76561197989579316,AR
76561198236975344,AR
76561198169381554,AR
76561198266927317,AR
76561198090690490,AR
76561198089043141,AR
76561198007184964,AR
76561198021954119,AR
76561198337148603,AR
76561198023803886,AR
76561198067438473,AR
76561198039047875,AR
76561198204258625,AR
76561198208369579,AR
76561198009310631,AR
76561198194957391,AR
76561198047028160,AR
76561198371769455,AR
76561198127302190,AR
76561198001313449,AR
76561198032308905,AR
76561198056968724,AR
76561198158041133,AR
76561198802767960,AR
76561198381309564,AR
76561198089859358,AR
76561198115092201,AR
76561197985375980,AR
76561198080866131,AR
76561198188849439,AR
76561198084676195,AR
76561198338494164,AR
76561198087318518,AR
76561197999520887,AR
76561198070052094,AR
76561197967853442,AR
76561198154417644,AR
76561198008896809,AR
76561198401453024,AR
76561198048474901,AR
76561198319770185,AR
76561198004441401,AR
76561198094579406,AR
76561198078027407,AR
76561198107657934,AR
76561198249529544,AR
76561198118133467,AR
76561198168090634,AR
76561198001695893,AR
76561198097322040,AR
76561198252437532,AR
76561198001544125,AR
76561198215206676,AR
76561198057132036,AR
76561198090213472,AR
76561197964017305,AR
76561198358313849,AR
76561198017662898,AR
76561198089586052,AR
76561198067904316,AR
76561198093518210,AR
76561198165467603,AR
76561198155114734,AR
76561198177909945,AR
76561198127060948,AR
76561198158392240,AR
76561198005945823,AR
76561198266814277,AR
76561198142606652,AR
76561198090999941,AR
76561198039177750,AR
76561198145533957,AR
76561198186133737,AR
76561198272542616,AR
76561198000462743,AR
76561198128682162,AR
76561198089190735,AR
76561198142768449,AR
76561198419867303,AR
76561198021353203,AR
76561198044098059,AR
76561198892459521,AR
76561198434946923,AR
76561198009394518,AR
76561198030572605,AR
76561198195319728,AR
76561198178815018,AR
76561198116401920,AR
76561198120147688,AR
76561198201081641,AR
76561198076970174,AR
76561198022875000,AR
76561198074360742,AR
76561198119720639,AR
76561198079795056,AR
76561198277139668,AR
76561198149735694,AR
76561198037252872,AR
76561198851903533,AR
76561198040320273,AR
76561198306314836,AR
76561198122277031,AR
76561198072240504,AR
76561198035042598,AR
76561198197092797,AR
76561198105093247,AR
76561198145045818,AR
76561198055073098,AR
76561198195130785,AR
76561198115457253,AR
76561198208589331,AR
76561198007973318,AR
76561198191969962,AR
76561198066223715,AR
76561198254649554,AR
76561198174622783,AR
76561198027636937,AR
76561198220476391,AR
76561198344662837,AR
76561198062309761,AR
76561198360192172,AR
76561198387508573,AR
76561198154960560,AR
76561198144423779,AR
76561198092234003,AR
76561197989312390,AR
76561198816835074,AR
76561198083936813,AR
76561197965102981,AR
76561198271625001,AR
76561198218375863,AR
76561198059054995,AR
76561198089289691,AR
76561198118145416,AR
76561198957411079,AR
76561198196370828,AR
76561198408006244,AR
76561198047551769,AR
76561198012898234,AR
76561199030923923,AR
76561198012845274,AR
76561198127344808,AR
76561198297453101,AR
76561198115040589,AR
76561199004013389,AR
76561198201630757,AR
76561198142815210,AR
76561198055792695,AR
76561198962195570,AR
76561198275388728,AR
76561198129586504,AR
76561198268311213,AR
76561198287794574,AR
76561198168554000,AR
76561198303390751,AR
76561198129076118,AR
76561198137227951,AR
76561198360940060,AR
76561198070519330,AR
76561198451575990,AR
76561197987153459,AR
76561198095540557,AR
76561198014868694,BR
76561198103754372,BR
76561198249653302,BR
76561197985007043,BR
76561198064190947,BR
76561197994541391,BR
76561197963623459,BR
76561198101523563,BR
76561198268898812,BR
76561198248083832,BR
76561198018075514,BR
76561198130054817,BR
76561198169939985,BR
76561198070973300,BR
76561199075318140,BR
76561198409987057,BR
76561198321122128,BR
76561198037034388,BR
76561198067139337,BR
76561197987815569,BR
76561198065576280,BR
76561198073154420,BR
76561198129345768,BR
76561198127320557,BR
76561198259545857,BR
76561198300575295,BR
76561198083301298,BR
76561198971189108,BR
76561198163784347,BR
76561198116008093,BR
76561198161205061,BR
76561197960555384,BR
76561198321458978,BR
76561198420508941,BR
76561198119188837,BR
76561198085621208,BR
76561198277155153,BR
76561198072325646,BR
76561198007211411,BR
76561198249954826,BR
76561199070954487,BR
76561197962272274,BR
76561198076834920,BR
76561198042559766,BR
76561198111032956,BR
76561198848020753,BR
76561198180189042,BR
76561198046415748,BR
76561198008640615,BR
76561198354798459,BR
76561198094733049,BR
76561198143602424,BR
76561198007123604,BR
76561197990269337,BR
76561198019184877,BR
76561198066616744,BR
76561198297691037,BR
76561198229738060,BR
76561198126804411,BR
76561198057757047,BR
76561198011090425,BR
76561198413123432,BR
76561198319691305,BR
76561198144469869,BR
76561198308628242,BR
76561198078777261,BR
76561198097560449,BR
76561198019078835,BR
76561198099419030,BR
76561198164651434,BR
76561198126629129,BR
76561198042752993,BR
